Service Category,Intent Question
Business Continuity,What does business continuity service include?
Business Continuity,How can your business continuity plan help my company?
Business Continuity,Is your business continuity service suitable for small businesses?
Business Continuity,What are the costs of your business continuity services?
Business Continuity,Can you customize the business continuity plan for my specific needs?
Business Continuity,How do you ensure data recovery in your business continuity plan?
Business Continuity,What is the response time in case of a system failure?
Core Managed IT Service,What is included in your core managed IT service?
Core Managed IT Service,How does your managed IT service improve system reliability?
Core Managed IT Service,Are there different tiers or plans for managed IT services?
Core Managed IT Service,Can you provide 24/7 support with your IT service?
Core Managed IT Service,How do you handle IT emergencies under your managed IT service?
Core Managed IT Service,What kind of technical support do you offer in managed IT services?
Core Managed IT Service,Do you provide hardware and software updates in your IT service?
Calling Gatekeeper,Dummy question 1
Calling Gatekeeper,Dummy question 1
Calling Gatekeeper,Dummy question 1
Calling Gatekeeper,Dummy question 1
Calling Gatekeeper,Dummy question 1
Calling Gatekeeper,Dummy question 1
Calling Gatekeeper,Dummy question 1
Cyber Security Service Detection and Response,Dummy question 2
Cyber Security Service Detection and Response,Dummy question 2
Cyber Security Service Detection and Response,Dummy question 2
Cyber Security Service Detection and Response,Dummy question 2
Cyber Security Service Detection and Response,Dummy question 2
Cyber Security Service Detection and Response,Dummy question 2
Cyber Security Service Detection and Response,Dummy question 2
IT Consulting,Dummy question 3
IT Consulting,Dummy question 3
IT Consulting,Dummy question 3
IT Consulting,Dummy question 3
IT Consulting,Dummy question 3
IT Consulting,Dummy question 3
IT Consulting,Dummy question 3
Managed IT Service,Dummy question 4
Managed IT Service,Dummy question 4
Managed IT Service,Dummy question 4
Managed IT Service,Dummy question 4
Managed IT Service,Dummy question 4
Managed IT Service,Dummy question 4
Managed IT Service,Dummy question 4
Microsoft 365,Dummy question 5
Microsoft 365,Dummy question 5
Microsoft 365,Dummy question 5
Microsoft 365,Dummy question 5
Microsoft 365,Dummy question 5
Microsoft 365,Dummy question 5
Microsoft 365,Dummy question 5
Private/Public/Hybrid Cloud,Dummy question 6
Private/Public/Hybrid Cloud,Dummy question 6
Private/Public/Hybrid Cloud,Dummy question 6
Private/Public/Hybrid Cloud,Dummy question 6
Private/Public/Hybrid Cloud,Dummy question 6
Private/Public/Hybrid Cloud,Dummy question 6
Private/Public/Hybrid Cloud,Dummy question 6
Security Awareness,Dummy question 7
Security Awareness,Dummy question 7
Security Awareness,Dummy question 7
Security Awareness,Dummy question 7
Security Awareness,Dummy question 7
Security Awareness,Dummy question 7
Security Awareness,Dummy question 7
Secure Storage Backup and Recovery,Dummy question 8
Secure Storage Backup and Recovery,Dummy question 8
Secure Storage Backup and Recovery,Dummy question 8
Secure Storage Backup and Recovery,Dummy question 8
Secure Storage Backup and Recovery,Dummy question 8
Secure Storage Backup and Recovery,Dummy question 8
Secure Storage Backup and Recovery,Dummy question 8
Trust and Security,Dummy question 9
Trust and Security,Dummy question 9
Trust and Security,Dummy question 9
Trust and Security,Dummy question 9
Trust and Security,Dummy question 9
Trust and Security,Dummy question 9
Trust and Security,Dummy question 9
Virtual CISO,Dummy question 10
Virtual CISO,Dummy question 10
Virtual CISO,Dummy question 10
Virtual CISO,Dummy question 10
Virtual CISO,Dummy question 10
Virtual CISO,Dummy question 10
Virtual CISO,Dummy question 10
VOIP Managed Service,Dummy question 11
VOIP Managed Service,Dummy question 11
VOIP Managed Service,Dummy question 11
VOIP Managed Service,Dummy question 11
VOIP Managed Service,Dummy question 11
VOIP Managed Service,Dummy question 11
VOIP Managed Service,Dummy question 11
Vulnerability Testing and Assessments,Dummy question 12
Vulnerability Testing and Assessments,Dummy question 12
Vulnerability Testing and Assessments,Dummy question 12
Vulnerability Testing and Assessments,Dummy question 12
Vulnerability Testing and Assessments,Dummy question 12
Vulnerability Testing and Assessments,Dummy question 12
Vulnerability Testing and Assessments,Dummy question 12
